日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,交易所代码,TickFlow代码
2026-05-20,000300,沪深300,CSI 300,000001,平安银行,"Ping An Bank Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,SZ,000001.SZ
2026-05-20,000300,沪深300,CSI 300,000002,万科A,China Vanke Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,000002.SZ
2026-05-20,000300,沪深300,CSI 300,000063,中兴通讯,ZTE Corporation,深圳证券交易所,Shenzhen Stock Exchange,SZ,000063.SZ
2026-05-20,000300,沪深300,CSI 300,000100,TCL科技,TCL Technology Group Corporation,深圳证券交易所,Shenzhen Stock Exchange,SZ,000100.SZ
2026-05-20,000300,沪深300,CSI 300,000157,中联重科,Zoomlion Heavy Industry Science & Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,000157.SZ
2026-05-20,000300,沪深300,CSI 300,000166,申万宏源,"Shenwan Hongyuan Group CO., LTD",深圳证券交易所,Shenzhen Stock Exchange,SZ,000166.SZ
2026-05-20,000300,沪深300,CSI 300,000301,东方盛虹,"Jiangsu Eastern Shenghong Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,SZ,000301.SZ
2026-05-20,000300,沪深300,CSI 300,000333,美的集团,"Midea Group CO., LTD",深圳证券交易所,Shenzhen Stock Exchange,SZ,000333.SZ
2026-05-20,000300,沪深300,CSI 300,000338,潍柴动力,Wei Chai Power Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,000338.SZ
2026-05-20,000300,沪深300,CSI 300,000408,藏格矿业,ZANGGE MINING COMPANY LIMITED,深圳证券交易所,Shenzhen Stock Exchange,SZ,000408.SZ
2026-05-20,000300,沪深300,CSI 300,000425,徐工机械,XCMG Construction Machinery Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,000425.SZ
2026-05-20,000300,沪深300,CSI 300,000538,云南白药,"Yunnan Baiyao Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,SZ,000538.SZ
2026-05-20,000300,沪深300,CSI 300,000568,泸州老窖,Luzhou Lao Jiao Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,000568.SZ
2026-05-20,000300,沪深300,CSI 300,000596,古井贡酒,Anhui Gujing Distillery Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,000596.SZ
2026-05-20,000300,沪深300,CSI 300,000617,中油资本,CNPC Capital Company Limited,深圳证券交易所,Shenzhen Stock Exchange,SZ,000617.SZ
2026-05-20,000300,沪深300,CSI 300,000625,长安汽车,Chongqing Changan Automobile Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,000625.SZ
2026-05-20,000300,沪深300,CSI 300,000630,铜陵有色,Tongling Nonferrous Metals Group Co. Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,000630.SZ
2026-05-20,000300,沪深300,CSI 300,000651,格力电器,"Gree Electric Appliances,Inc. of Zhuhai",深圳证券交易所,Shenzhen Stock Exchange,SZ,000651.SZ
2026-05-20,000300,沪深300,CSI 300,000661,长春高新,Chang Chun High and New Technology Industry (Group) Inc.,深圳证券交易所,Shenzhen Stock Exchange,SZ,000661.SZ
2026-05-20,000300,沪深300,CSI 300,000708,中信特钢,"CITIC Pacific Special Steel Group Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange,SZ,000708.SZ
2026-05-20,000300,沪深300,CSI 300,000725,京东方A,BOE Technology Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,000725.SZ
2026-05-20,000300,沪深300,CSI 300,000768,中航西飞,AVIC XI'AN AIRCRAFT INDUSTRY GROUP COMPANY LTD.,深圳证券交易所,Shenzhen Stock Exchange,SZ,000768.SZ
2026-05-20,000300,沪深300,CSI 300,000776,广发证券,"GF Securities Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,SZ,000776.SZ
2026-05-20,000300,沪深300,CSI 300,000786,北新建材,Beijing New Building Materials Public Ltd Co,深圳证券交易所,Shenzhen Stock Exchange,SZ,000786.SZ
2026-05-20,000300,沪深300,CSI 300,000792,盐湖股份,Qinghai Salt Lake Industry Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,000792.SZ
2026-05-20,000300,沪深300,CSI 300,000807,云铝股份,Yunnan Aluminium Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,000807.SZ
2026-05-20,000300,沪深300,CSI 300,000858,五 粮 液,Wuliangye Yibin Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,000858.SZ
2026-05-20,000300,沪深300,CSI 300,000876,新 希 望,"NEW HOPE LIUHE CO., LTD",深圳证券交易所,Shenzhen Stock Exchange,SZ,000876.SZ
2026-05-20,000300,沪深300,CSI 300,000895,双汇发展,Henan Shuanghui Investment & Development Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,000895.SZ
2026-05-20,000300,沪深300,CSI 300,000938,紫光股份,"Unisplendour Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,SZ,000938.SZ
2026-05-20,000300,沪深300,CSI 300,000963,华东医药,Huadong Medicine Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,000963.SZ
2026-05-20,000300,沪深300,CSI 300,000975,山金国际,"Shanjin International Gold Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,SZ,000975.SZ
2026-05-20,000300,沪深300,CSI 300,000977,浪潮信息,"Inspur Electronic Information Industry Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange,SZ,000977.SZ
2026-05-20,000300,沪深300,CSI 300,000983,山西焦煤,"Shanxi Coking Coal Energy Group Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,SZ,000983.SZ
2026-05-20,000300,沪深300,CSI 300,000999,华润三九,China Resources Sanjiu Medical & Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,000999.SZ
2026-05-20,000300,沪深300,CSI 300,001391,国货航,"Air China Cargo Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,SZ,001391.SZ
2026-05-20,000300,沪深300,CSI 300,001965,招商公路,"China Merchants Expressway Network Technology Holdings Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,SZ,001965.SZ
2026-05-20,000300,沪深300,CSI 300,001979,招商蛇口,"CHINA MERCHANTS SHEKOU INDUSTRIAL ZONE HOLDINGS CO.,LTD",深圳证券交易所,Shenzhen Stock Exchange,SZ,001979.SZ
2026-05-20,000300,沪深300,CSI 300,002001,新和成,Zhejiang NHU Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,002001.SZ
2026-05-20,000300,沪深300,CSI 300,002027,分众传媒,"Focus Media Information Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,SZ,002027.SZ
2026-05-20,000300,沪深300,CSI 300,002028,思源电气,"Siyuan Electric Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,SZ,002028.SZ
2026-05-20,000300,沪深300,CSI 300,002049,紫光国微,"Unigroup Guoxin Microelectronics Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,SZ,002049.SZ
2026-05-20,000300,沪深300,CSI 300,002050,三花智控,"ZHEJIANG SANHUA INTELLIGENT CONTROLS CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange,SZ,002050.SZ
2026-05-20,000300,沪深300,CSI 300,002074,国轩高科,"GUOXUAN HIGH-TECH CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange,SZ,002074.SZ
2026-05-20,000300,沪深300,CSI 300,002142,宁波银行,Bank of Ningbo Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,002142.SZ
2026-05-20,000300,沪深300,CSI 300,002179,中航光电,"Jonhon Optronic Technology Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange,SZ,002179.SZ
2026-05-20,000300,沪深300,CSI 300,002230,科大讯飞,"Iflytek Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,SZ,002230.SZ
2026-05-20,000300,沪深300,CSI 300,002236,大华股份,Zhejiang Dahua Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,002236.SZ
2026-05-20,000300,沪深300,CSI 300,002241,歌尔股份,GoerTek Inc,深圳证券交易所,Shenzhen Stock Exchange,SZ,002241.SZ
2026-05-20,000300,沪深300,CSI 300,002252,上海莱士,Shanghai RAAS Blood Products Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,002252.SZ
2026-05-20,000300,沪深300,CSI 300,002304,洋河股份,Jiangsu Yanghe Brewery Joint-Stock Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,002304.SZ
2026-05-20,000300,沪深300,CSI 300,002311,海大集团,Guangdong Haid Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,002311.SZ
2026-05-20,000300,沪深300,CSI 300,002352,顺丰控股,"S.F. Holding Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,SZ,002352.SZ
2026-05-20,000300,沪深300,CSI 300,002371,北方华创,"NAURA Technology Group Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,SZ,002371.SZ
2026-05-20,000300,沪深300,CSI 300,002384,东山精密,Suzhou Dongshan Precision Manufacturing Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,002384.SZ
2026-05-20,000300,沪深300,CSI 300,002415,海康威视,Hangzhou Hikvision Digital Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,002415.SZ
2026-05-20,000300,沪深300,CSI 300,002422,科伦药业,Sichuan Kelun Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,002422.SZ
2026-05-20,000300,沪深300,CSI 300,002459,晶澳科技,"JA Solar Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,SZ,002459.SZ
2026-05-20,000300,沪深300,CSI 300,002460,赣锋锂业,Ganfeng Lithium Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,002460.SZ
2026-05-20,000300,沪深300,CSI 300,002463,沪电股份,Wus Printed Circuit (Kunshan) Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,002463.SZ
2026-05-20,000300,沪深300,CSI 300,002466,天齐锂业,"Tianqi Lithium Industries, Inc.",深圳证券交易所,Shenzhen Stock Exchange,SZ,002466.SZ
2026-05-20,000300,沪深300,CSI 300,002475,立讯精密,"Luxshare Precision Industry Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,SZ,002475.SZ
2026-05-20,000300,沪深300,CSI 300,002493,荣盛石化,Rongsheng Petro Chemical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,002493.SZ
2026-05-20,000300,沪深300,CSI 300,002594,比亚迪,BYD Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,SZ,002594.SZ
2026-05-20,000300,沪深300,CSI 300,002600,领益智造,LINGYI iTECH (GUANGDONG) COMPANY,深圳证券交易所,Shenzhen Stock Exchange,SZ,002600.SZ
2026-05-20,000300,沪深300,CSI 300,002601,龙佰集团,"LB Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,SZ,002601.SZ
