目标板块,匹配板块,类型,匹配分数,匹配方式,1日涨跌幅%,5日涨跌幅%,20日涨跌幅%,成交额放量倍数,主力净流入_今日,主力净占比_今日%,主力净流入_5日,主力净流入_10日,景气度分,短线标签,分析视角
AI PC,AI PC,concept,1.0,exact:AI PC,2.460410562833615,0.5313905210031278,13.445557376475769,1.074529116554021,,,,,3.739825852983076,中性轮动,概念板块
共封装光学(CPO),共封装光学(CPO),concept,1.0,exact:共封装光学(CPO),3.4798453209092584,-2.334042279329185,16.84514036951128,1.0548779472365775,42208000000.0,,,6903000000.0,3.5224720765017805,中性轮动,概念板块
通信设备,通信设备,industry,1.0,exact:通信设备,2.6225928383945663,-2.0051577459000325,5.832057283886871,1.127867646291104,22321000000.0,,,-494000000.00000006,1.6284630448467956,中性轮动,行业板块
液冷服务器,液冷服务器,concept,1.0,exact:液冷服务器,1.2021025005108488,-2.461178029346134,5.394214735996372,1.0171776915708972,19115000000.0,,,,0.5437395948847834,中性轮动,概念板块
AI眼镜,AI眼镜,concept,1.0,exact:AI眼镜,1.3292279091384307,-3.4013151049096635,7.477216292754818,0.9245928567397315,763000000.0,,,4572000000.0,0.19379283735892483,中性轮动,概念板块
AI视频,AI视频,concept,1.0,exact:AI视频,,,,,,,,,0.0,中性轮动,概念板块
AI手机,AI手机,concept,1.0,exact:AI手机,0.9969783331209126,-4.420590358683773,6.750452606487922,0.8732758710978495,594000000.0,,,,-0.6313410821283058,中性轮动,概念板块
中国AI 50,中国AI 50,concept,1.0,exact:中国AI 50,1.1223544769165983,-3.0115277010611674,2.914731430428441,0.8900532395970039,,,,,-0.7963513159173813,低位异动,概念板块
自动化设备,自动化设备,industry,1.0,exact:自动化设备,1.4581221978258174,-4.791362718043846,6.961520352014783,0.8234664717553145,1980000000.0,,,1702000000.0,-0.8757160825706535,中性轮动,行业板块
数据中心(AIDC),数据中心(AIDC),concept,1.0,exact:数据中心(AIDC),0.04793902092725677,-3.378650858365051,1.5262402346081894,0.9526356380704069,,,,,-1.1045137589686442,低位异动,概念板块
半导体,半导体,industry,1.0,exact:半导体,0.5632568274959171,-8.539065703672033,9.878317654395975,0.8113387151515509,5924000000.0,,,18414000000.0,-1.8436645241490788,中性轮动,行业板块
东数西算(算力),东数西算(算力),concept,1.0,exact:东数西算(算力),-0.16549570647931278,-3.9133501097949885,-0.47039867044823547,0.8960655629444647,,,,,-2.016523599091432,低位观察,概念板块
证券,证券,industry,1.0,exact:证券,-0.21989676871949637,-2.031241647569615,-3.8399556265131474,0.9007741934519614,-476000000.0,,679000000.0,614000000.0,-2.019034088436087,滞涨吸金,行业板块
AI语料,AI语料,concept,1.0,exact:AI语料,-2.1340393710335803,-3.2881391950697836,-4.24885507051499,0.9227729939257658,,,,,-2.813562636955309,低位观察,概念板块
多模态AI,多模态AI,concept,1.0,exact:多模态AI,-1.4102492518384135,-3.9027689819736366,-4.143288826720326,0.8569469431127531,,,,,-3.1919420438387553,低位观察,概念板块
软件开发,软件开发,industry,1.0,exact:软件开发,-1.2716329418760441,-4.595307419512629,-5.141412533625478,0.9370405457760221,,,,,-3.205763963049614,低位观察,行业板块
AI智能体,AI智能体,concept,1.0,exact:AI智能体,-1.1827182067092545,-3.914551270387645,-4.333865135865544,0.8310353940304505,,,,,-3.318232642998383,低位观察,概念板块
电池,电池,industry,1.0,exact:电池,-0.9037322151856375,-2.7529173480195235,-6.840710120787685,0.8363465136420715,688000000.0,,-1454000000.0,-4074000000.0,-3.3306769707911403,低位观察,行业板块
AI应用,AI应用,concept,1.0,exact:AI应用,-1.4047338180877444,-3.630939002040179,-5.280783238292686,0.8549430406513417,,,,,-3.3332168587334396,低位观察,概念板块
智谱AI,智谱AI,concept,1.0,exact:智谱AI,-1.8996713424295542,-4.165548920890883,-5.971417191109696,0.7944698439207286,,,,,-4.059810609416016,低位观察,概念板块
算力租赁,算力租赁,concept,1.0,exact:算力租赁,-1.1220691965617369,-5.286869520384274,-4.672356100761387,0.7810889944152891,,,,,-4.103844419522675,低位观察,概念板块
