目标板块,匹配板块,类型,匹配分数,匹配方式,1日涨跌幅%,5日涨跌幅%,20日涨跌幅%,成交额放量倍数,主力净流入_今日,主力净占比_今日%,主力净流入_5日,主力净流入_10日,景气度分,短线标签
先进封装/Chiplet,先进封装,concept,1.0,exact:先进封装,-1.339697308772958,2.434684859016145,27.88503351393905,1.5520578071230067,,,9014000000.0,15534000000.0,8.921495977303902,高位强趋势
PCB/CCL/电子布,PCB概念,concept,0.92,contains:PCB,-2.031822742394307,2.319380299903373,21.040917337916333,1.350567811973753,,,3608000000.0,6783000000.0,6.3664410839393515,高位强趋势
存储芯片,存储芯片,concept,1.0,exact:存储芯片,-2.446896659836295,-2.782687838141784,25.771200659015147,1.3719729941657206,,,27222000000.000004,18716000000.0,5.550785027314749,高位强趋势
长鑫/长江存储产业链,存储芯片,concept,1.0,exact:存储芯片,-2.446896659836295,-2.782687838141784,25.771200659015147,1.3719729941657206,,,27222000000.000004,18716000000.0,5.550785027314749,高位强趋势
封测/测试设备,半导体,industry,0.86,contains:半导体测试,-1.2790692311088425,-2.9793405292564024,24.87842670813678,1.352622197197852,-2992000000.0,,26212000000.0,15961000000.000002,5.4402132961551075,高位分歧/谨慎追高
食品饮料/白酒,白酒,industry,1.0,exact:白酒,3.368039957877045,2.174082163636659,-3.2797708204315046,1.8955526775456353,679000000.0,,-617000000.0,-3261999999.9999995,5.256345972490115,低位启动
半导体材料,电子化学品,industry,1.0,exact:电子化学品,-2.4616277566115174,-2.3064549902064857,26.519852709240112,1.218139008989765,,,1309000000.0,3351000000.0,5.0950807889022744,高位强趋势
CPO/硅光,共封装光学(CPO),concept,0.92,contains:CPO,-1.533624440361725,-0.3302839009606151,19.773213315409286,1.2256704634828053,,,2921000000.0,21826000000.0,4.660670727087323,中性轮动
AI手机/AI PC/消费电子,AI手机,concept,1.0,exact:AI手机,-1.2422886236027053,-1.4818733760277092,12.0326007164278,1.203954134011828,,,-3229999999.9999995,7068000000.000001,2.659177407014461,中性轮动
AI芯片/GPU/ASIC,AI PC,concept,0.75,fuzzy:ASIC,-3.03914705357603,-0.8630531621578452,10.760440069104614,1.2426886468695504,,,,,2.455633230698223,中性轮动
AIGC/生成式AI,AI PC,concept,0.75,fuzzy:AIGC,-3.03914705357603,-0.8630531621578452,10.760440069104614,1.2426886468695504,,,,,2.455633230698223,中性轮动
人形机器人,人形机器人,concept,1.0,exact:人形机器人,-2.641238802409218,-2.5517510694316625,8.30560895897321,1.1798675048139207,,,,11210000000.0,1.13909868108132,中性轮动
半导体设备,光刻机,concept,1.0,exact:光刻机,-2.7760308415878177,-5.536036573924019,15.309053397340566,1.0849763789231224,,,,1015000000.0,0.9938736048927552,中性轮动
MR/AR/VR,虚拟现实,concept,1.0,exact:虚拟现实,-2.16289568680319,-3.713176149571018,3.5093859817863837,1.2368826837579612,,,,,0.1540998254365884,中性轮动
商贸零售/奢侈品/旅游酒店,零售,industry,1.0,exact:零售,-0.5321338441622969,-2.5059057782298333,-4.510103320340264,1.3621199654142666,-891000000.0,,-843000000.0,-148000000.0,-0.07491462820962069,资金流出/弱势
智能驾驶/车路云,无人驾驶,concept,1.0,exact:无人驾驶,-2.4697572476009677,-3.434934761945918,1.965215339817461,1.196891571976166,,,,,-0.3186776883569431,中性轮动
减速器/丝杠/电机/传感器,减速器,concept,1.0,exact:减速器,-3.5391380457682087,-4.069701248611435,5.337166514255887,1.028166833122769,,,,,-0.9239555777026218,中性轮动
液冷/数据中心温控,液冷服务器,concept,1.0,exact:液冷服务器,-2.100093884334353,-4.992259754378326,6.655238722264811,0.9660362351176195,,,,20117000000.0,-1.0060807708582251,中性轮动
证券,证券,industry,1.0,exact:证券,-0.9187413091334862,-0.8551431895937989,-1.0774487787296616,0.9337999929532473,-3547000000.0,,-1386000000.0,-4548000000.0,-1.0295381691642225,资金流出/弱势
