目标板块,匹配板块,类型,匹配分数,匹配方式,1日涨跌幅%,5日涨跌幅%,20日涨跌幅%,成交额放量倍数,主力净流入_今日,主力净占比_今日%,主力净流入_5日,主力净流入_10日,景气度分,短线标签
半导体材料,电子化学品,industry,1.0,exact:电子化学品,1.0524490975486467,9.765404121650146,34.02950140800625,1.436752202391804,196000000.0,,1540000000.0,-1066000000.0,12.618042555647552,高位强趋势
封测/测试设备,半导体,industry,0.86,contains:半导体测试,0.037680850595189774,7.504149032940144,25.1289221130818,1.7517118123523165,-4761000000.0,,22546000000.0,-334000000.0,11.418331816026031,高位分歧/谨慎追高
存储芯片,存储芯片,concept,1.0,exact:存储芯片,0.15868538110461738,7.199781170418329,25.21993737629764,1.6868853091684897,-745000000.0,,18630000000.0,3415000000.0,11.030074506969315,高位分歧/谨慎追高
长鑫/长江存储产业链,存储芯片,concept,1.0,exact:存储芯片,0.15868538110461738,7.199781170418329,25.21993737629764,1.6868853091684897,-745000000.0,,18630000000.0,3415000000.0,11.030074506969315,高位分歧/谨慎追高
半导体设备,光刻机,concept,1.0,exact:光刻机,1.2762681399092424,8.001360591548101,22.75797894307672,1.587531866406024,,,983000000.0,-787000000.0,10.544984955669149,高位强趋势
减速器/丝杠/电机/传感器,减速器,concept,1.0,exact:减速器,3.04361427867057,1.4596716842075086,10.769438638043539,2.359895457386612,,,-1166000000.0,841000000.0,10.07297295974851,中性轮动
CPO/硅光,共封装光学(CPO),concept,0.92,contains:CPO,-1.4008313706769693,3.193247306015734,23.174979315457357,1.2710362581528727,7538000000.0,,5279000000.0,3529999999.9999995,6.827647436825948,高位强趋势
先进封装/Chiplet,先进封装,concept,1.0,exact:先进封装,0.49032949858554,3.1542590660707415,24.96986648391548,,,,15736000000.000002,3561000000.0,6.196029869624963,高位强趋势
PEEK材料,PEEK材料,concept,1.0,exact:peek材料,1.4916974055825705,2.5343216776486654,10.014943967293476,1.5413332198369873,,,-529000000.0,1939999999.9999998,5.895006960937179,中性轮动
人形机器人,人形机器人,concept,1.0,exact:人形机器人,1.7160995969459414,1.1770120868566325,10.7761430506099,1.5596666432363326,,,500000000.0,16172999999.999998,5.708735976092653,中性轮动
PCB/CCL/电子布,PCB概念,concept,0.92,contains:PCB,-1.1790341964906914,1.9900656567905628,18.712823872816053,1.273906108003955,6033000000.0,,3399000000.0,9902000000.0,5.5728114551615455,中性轮动
AI手机/AI PC/消费电子,AI手机,concept,1.0,exact:AI手机,-0.9427150403983009,1.6339012196803449,11.069120134738842,1.5569963475243869,3004000000.0,,6656999999.999999,7034999999.999999,5.382128183378164,中性轮动
液冷/数据中心温控,液冷服务器,concept,1.0,exact:液冷服务器,-0.30981153063674993,0.7978663974145261,12.09081015413429,1.3147855085796272,,,-6089000000.0,1801000000.0000002,4.209380506692728,中性轮动
AI芯片/GPU/ASIC,AI PC,concept,0.75,fuzzy:ASIC,-1.2735688200488537,-1.2674259250508135,11.742835163522546,1.4830245855513982,,,,,4.065377122683945,中性轮动
光模块/光通信,通信设备,industry,1.0,exact:通信设备,-1.9241132393092442,0.5108675151822784,11.8853768040432,1.2020930374739391,5041000000.0,,-1162000000.0,-2814000000.0,3.1815215306302846,中性轮动
智能驾驶/车路云,无人驾驶,concept,1.0,exact:无人驾驶,-0.18501230166257931,-0.7426840878641761,6.81306658693015,1.2057158852703616,,,,,2.09425085265286,中性轮动
MR/AR/VR,虚拟现实,concept,1.0,exact:虚拟现实,-0.2908820216741548,-1.2298057525483408,6.794039156413079,1.2405233481218394,,,,,2.0728161541650625,中性轮动
AI算力,算力租赁,concept,1.0,exact:算力租赁,-1.2514493245336378,-2.0940818713176546,9.94677237734718,1.1867142046201007,,,,,1.939706978702033,中性轮动
算力租赁/IDC,算力租赁,concept,1.0,exact:算力租赁,-1.2514493245336378,-2.0940818713176546,9.94677237734718,1.1867142046201007,,,,,1.939706978702033,中性轮动
固态电池/储能/新能源科技,固态电池,concept,1.0,exact:固态电池,-0.613786789284132,-1.1639547869660372,8.369514123747134,1.06285138921187,,,,,1.458018237513838,中性轮动
卫星互联网/商业航天,商业航天,concept,1.0,exact:商业航天,-0.8870821879225166,-1.885189416116817,6.5304425778305975,1.1273495943357803,,,,,1.1056037540196317,中性轮动
信创/国产软件,信创,concept,1.0,exact:信创,-0.8985374494017484,-2.849699893400459,1.9319656802674334,1.2529059429125726,1617000000.0000002,,,,0.47382039804583953,中性轮动
低空经济/eVTOL,低空经济,concept,1.0,exact:低空经济,-0.4773690390397656,-2.0456770145802716,3.396113270502399,1.1201249547084315,,,,,0.4683866647315893,中性轮动
AI服务器,云计算,concept,1.0,exact:云计算,-0.6163520794422395,-2.8326735564141226,3.72896702846206,1.1030121864069484,4592000000.0,,,,0.1461481770937636,中性轮动
数据要素,数据要素,concept,1.0,exact:数据要素,-0.7174696762506816,-3.092024008147165,1.2598998057396615,1.2006019039594336,,,,,0.029287142843456015,中性轮动
网络安全,网络安全,concept,1.0,exact:网络安全,-0.9079666096085681,-2.9500282389429366,1.9430235029056053,1.1416439140077057,1891000000.0,,,,-0.11727893493209174,中性轮动
AI应用/大模型/Agent,AI应用,concept,1.0,exact:AI应用,-0.34596137706440766,-3.343178750139564,1.1079176562896587,1.0891953961897656,,,,,-0.5717443257549693,中性轮动
